,Energy AdaFT,Energy AdaFT DVFS,Energy All On,Energy DVFS,MTTF AdaFT,MTTF AdaFT DVFS,MTTF All On,MTTF DVFS,Number of Processors,QoC Constraint,Version 1 Execution Time,Version 1 Power,Version 1 WCET,Version 2 Execution Time,Version 2 Power,Version 2 WCET
18,3.215000000000198,2.967500000000128,3.357500000000225,2.9885000000001347,9.529370760754093,9.571858453077006,9.507903559310586,9.568833278820932,21,0.15,0.004,10,0.008,0.001,6.0,0.002
19,3.1855000000001907,2.9485000000001262,3.3075000000002115,2.9580000000001268,9.533731257150011,9.575242561355026,9.5146109316192,9.572480127220473,22,0.15,0.004,10,0.008,0.001,6.0,0.002
20,3.1420000000001767,2.9305000000001185,3.2725000000002042,2.9510000000001244,9.538001264725391,9.57788150137641,9.519679920182353,9.575253493553234,23,0.15,0.004,10,0.008,0.001,6.0,0.002
21,3.1240000000001724,2.912500000000117,3.270000000000212,2.9330000000001233,9.541862423121275,9.58000549741828,9.52350435118656,9.577353030322787,24,0.15,0.004,10,0.008,0.001,6.0,0.002
22,3.0995000000001665,2.89450000000011,3.2200000000001965,2.9080000000001127,9.545582977213932,9.582639647244237,9.528727331544673,9.58022644588076,25,0.15,0.004,10,0.008,0.001,6.0,0.002
23,7.767999999999456,6.463999999999692,9.573000000000148,8.009999999999593,8.890520766672916,9.099253020143191,8.663847460697262,8.911354468384028,3,0.15,0.004,10,0.008,0.002,6.0,0.002
24,6.443999999999665,5.480999999999851,7.79999999999951,6.620999999999693,9.07167017020746,9.231163692035409,8.900334992213923,9.089866200588434,4,0.15,0.004,10,0.008,0.002,6.0,0.002
25,5.663999999999816,4.887999999999985,6.7329999999996515,5.804999999999799,9.17890220611767,9.308428686803667,9.041144883932374,9.195491164349152,5,0.15,0.004,10,0.008,0.002,6.0,0.002
26,5.132999999999949,4.4940000000001055,6.049999999999755,5.254999999999897,9.252408285616111,9.361507089603888,9.132705409697579,9.263801804772108,6,0.15,0.004,10,0.008,0.002,6.0,0.002
27,4.7600000000000575,4.211000000000207,5.527999999999851,4.860999999999994,9.304515035216246,9.398940547931403,9.20549258773287,9.318246965779911,7,0.15,0.004,10,0.008,0.002,6.0,0.002
